Episode: 0, steps: 1000
Episode: 1, steps: 1000
Episode: 2, steps: 1000
Episode: 3, steps: 1000
Episode: 4, steps: 1000
Episode: 5, steps: 1000
Episode: 6, steps: 1000
Episode: 7, steps: 1000
Episode: 8, steps: 1000
Episode: 9, steps: 1000
Episode: 10, steps: 1000
Episode: 11, steps: 1000
Episode: 12, steps: 1000
Episode: 13, steps: 1000
Episode: 14, steps: 1000
Episode: 15, steps: 1000
Episode: 16, steps: 1000
Episode: 17, steps: 1000
Episode: 18, steps: 1000
Episode: 19, steps: 1000
Episode: 20, steps: 1000
Episode: 21, steps: 1000
Episode: 22, steps: 1000
Episode: 23, steps: 1000
Episode: 24, steps: 1000
Episode: 25, steps: 1000
Episode: 26, steps: 1000
Episode: 27, steps: 1000
Episode: 28, steps: 1000
Episode: 29, steps: 1000
Episode: 30, steps: 1000
Episode: 31, steps: 1000
Episode: 32, steps: 1000
Episode: 33, steps: 1000
Episode: 34, steps: 1000
Episode: 35, steps: 1000
Episode: 36, steps: 1000
Episode: 37, steps: 1000
Episode: 38, steps: 1000
Episode: 39, steps: 1000
Episode: 40, steps: 1000
Episode: 41, steps: 1000
Episode: 42, steps: 1000
Episode: 43, steps: 1000
